======================================================================
QR Code Generation Script
✅ [634/1000] Generated: PRODUCT000633
✅ [663/1000] Generated: PRODUCT000662
✅ [673/1000] Generated: PRODUCT000672
✅ [693/1000] Generated: PRODUCT000692
✅ [683/1000] Generated: PRODUCT000682
✅ [654/1000] Generated: PRODUCT000653
✅ [606/1000] Generated: PRODUCT000605
✅ [644/1000] Generated: PRODUCT000643
✅ [625/1000] Generated: PRODUCT000624
✅ [616/1000] Generated: PRODUCT000615
✅ [674/1000] Generated: PRODUCT000673
✅ [635/1000] Generated: PRODUCT000634
✅ [664/1000] Generated: PRODUCT000663
✅ [694/1000] Generated: PRODUCT000693
✅ [684/1000] Generated: PRODUCT000683
✅ [626/1000] Generated: PRODUCT000625
✅ [607/1000] Generated: PRODUCT000606
✅ [655/1000] Generated: PRODUCT000654
✅ [645/1000] Generated: PRODUCT000644
✅ [617/1000] Generated: PRODUCT000616
✅ [665/1000] Generated: PRODUCT000664
✅ [636/1000] Generated: PRODUCT000635
✅ [627/1000] Generated: PRODUCT000626
✅ [646/1000] Generated: PRODUCT000645
✅ [675/1000] Generated: PRODUCT000674
✅ [618/1000] Generated: PRODUCT000617
✅ [608/1000] Generated: PRODUCT000607
✅ [656/1000] Generated: PRODUCT000655
✅ [695/1000] Generated: PRODUCT000694
✅ [685/1000] Generated: PRODUCT000684
✅ [666/1000] Generated: PRODUCT000665
✅ [686/1000] Generated: PRODUCT000685
✅ [609/1000] Generated: PRODUCT000608
✅ [647/1000] Generated: PRODUCT000646
✅ [637/1000] Generated: PRODUCT000636
✅ [696/1000] Generated: PRODUCT000695
✅ [619/1000] Generated: PRODUCT000618
✅ [676/1000] Generated: PRODUCT000675
✅ [628/1000] Generated: PRODUCT000627
✅ [657/1000] Generated: PRODUCT000656
✅ [667/1000] Generated: PRODUCT000666
✅ [638/1000] Generated: PRODUCT000637
✅ [687/1000] Generated: PRODUCT000686
✅ [629/1000] Generated: PRODUCT000628
✅ [697/1000] Generated: PRODUCT000696
✅ [610/1000] Generated: PRODUCT000609
✅ [648/1000] Generated: PRODUCT000647
✅ [677/1000] Generated: PRODUCT000676
✅ [658/1000] Generated: PRODUCT000657
✅ [620/1000] Generated: PRODUCT000619
✅ [630/1000] Generated: PRODUCT000629
✅ [668/1000] Generated: PRODUCT000667
✅ [639/1000] Generated: PRODUCT000638
✅ [701/1000] Generated: PRODUCT000700
✅ [688/1000] Generated: PRODUCT000687
✅ [678/1000] Generated: PRODUCT000677
✅ [649/1000] Generated: PRODUCT000648
✅ [711/1000] Generated: PRODUCT000710
✅ [698/1000] Generated: PRODUCT000697
✅ [659/1000] Generated: PRODUCT000658
✅ [669/1000] Generated: PRODUCT000668
✅ [699/1000] Generated: PRODUCT000698
✅ [650/1000] Generated: PRODUCT000649
✅ [702/1000] Generated: PRODUCT000701
✅ [721/1000] Generated: PRODUCT000720
✅ [689/1000] Generated: PRODUCT000688
✅ [660/1000] Generated: PRODUCT000659
✅ [679/1000] Generated: PRODUCT000678
✅ [712/1000] Generated: PRODUCT000711
✅ [640/1000] Generated: PRODUCT000639
✅ [722/1000] Generated: PRODUCT000721
✅ [703/1000] Generated: PRODUCT000702
✅ [741/1000] Generated: PRODUCT000740
✅ [670/1000] Generated: PRODUCT000669
✅ [700/1000] Generated: PRODUCT000699
✅ [680/1000] Generated: PRODUCT000679
✅ [690/1000] Generated: PRODUCT000689
✅ [731/1000] Generated: PRODUCT000730
✅ [751/1000] Generated: PRODUCT000750
✅ [713/1000] Generated: PRODUCT000712
✅ [704/1000] Generated: PRODUCT000703
✅ [781/1000] Generated: PRODUCT000780
✅ [723/1000] Generated: PRODUCT000722
✅ [742/1000] Generated: PRODUCT000741
✅ [771/1000] Generated: PRODUCT000770
✅ [761/1000] Generated: PRODUCT000760
✅ [714/1000] Generated: PRODUCT000713
✅ [732/1000] Generated: PRODUCT000731
✅ [752/1000] Generated: PRODUCT000751
✅ [791/1000] Generated: PRODUCT000790
✅ [705/1000] Generated: PRODUCT000704
✅ [782/1000] Generated: PRODUCT000781
✅ [715/1000] Generated: PRODUCT000714
✅ [724/1000] Generated: PRODUCT000723
✅ [762/1000] Generated: PRODUCT000761
✅ [772/1000] Generated: PRODUCT000771
✅ [792/1000] Generated: PRODUCT000791
✅ [733/1000] Generated: PRODUCT000732
✅ [743/1000] Generated: PRODUCT000742
✅ [753/1000] Generated: PRODUCT000752
✅ [706/1000] Generated: PRODUCT000705
✅ [793/1000] Generated: PRODUCT000792
✅ [716/1000] Generated: PRODUCT000715
✅ [744/1000] Generated: PRODUCT000743
✅ [773/1000] Generated: PRODUCT000772
✅ [783/1000] Generated: PRODUCT000782
✅ [754/1000] Generated: PRODUCT000753
✅ [734/1000] Generated: PRODUCT000733
✅ [763/1000] Generated: PRODUCT000762
✅ [725/1000] Generated: PRODUCT000724
✅ [726/1000] Generated: PRODUCT000725
✅ [784/1000] Generated: PRODUCT000783
✅ [794/1000] Generated: PRODUCT000793
✅ [774/1000] Generated: PRODUCT000773
✅ [755/1000] Generated: PRODUCT000754
✅ [745/1000] Generated: PRODUCT000744
✅ [735/1000] Generated: PRODUCT000734
✅ [707/1000] Generated: PRODUCT000706
✅ [717/1000] Generated: PRODUCT000716
✅ [764/1000] Generated: PRODUCT000763
✅ [775/1000] Generated: PRODUCT000774
✅ [785/1000] Generated: PRODUCT000784
✅ [727/1000] Generated: PRODUCT000726
✅ [718/1000] Generated: PRODUCT000717
✅ [708/1000] Generated: PRODUCT000707
✅ [756/1000] Generated: PRODUCT000755
✅ [746/1000] Generated: PRODUCT000745
✅ [736/1000] Generated: PRODUCT000735
✅ [765/1000] Generated: PRODUCT000764
✅ [795/1000] Generated: PRODUCT000794
✅ [786/1000] Generated: PRODUCT000785
✅ [719/1000] Generated: PRODUCT000718
✅ [757/1000] Generated: PRODUCT000756
✅ [709/1000] Generated: PRODUCT000708
✅ [728/1000] Generated: PRODUCT000727
✅ [766/1000] Generated: PRODUCT000765
✅ [737/1000] Generated: PRODUCT000736
✅ [776/1000] Generated: PRODUCT000775
✅ [747/1000] Generated: PRODUCT000746
✅ [796/1000] Generated: PRODUCT000795
✅ [767/1000] Generated: PRODUCT000766
✅ [787/1000] Generated: PRODUCT000786
✅ [797/1000] Generated: PRODUCT000796
✅ [729/1000] Generated: PRODUCT000728
✅ [720/1000] Generated: PRODUCT000719
✅ [758/1000] Generated: PRODUCT000757
✅ [710/1000] Generated: PRODUCT000709
✅ [777/1000] Generated: PRODUCT000776
✅ [738/1000] Generated: PRODUCT000737
✅ [748/1000] Generated: PRODUCT000747
✅ [798/1000] Generated: PRODUCT000797
✅ [768/1000] Generated: PRODUCT000767
✅ [788/1000] Generated: PRODUCT000787
✅ [778/1000] Generated: PRODUCT000777
✅ [759/1000] Generated: PRODUCT000758
✅ [801/1000] Generated: PRODUCT000800
✅ [739/1000] Generated: PRODUCT000738
✅ [730/1000] Generated: PRODUCT000729
✅ [749/1000] Generated: PRODUCT000748
✅ [811/1000] Generated: PRODUCT000810
✅ [799/1000] Generated: PRODUCT000798
✅ [789/1000] Generated: PRODUCT000788
✅ [821/1000] Generated: PRODUCT000820
✅ [779/1000] Generated: PRODUCT000778
✅ [750/1000] Generated: PRODUCT000749
✅ [740/1000] Generated: PRODUCT000739
✅ [802/1000] Generated: PRODUCT000801
✅ [812/1000] Generated: PRODUCT000811
✅ [760/1000] Generated: PRODUCT000759
✅ [769/1000] Generated: PRODUCT000768
✅ [790/1000] Generated: PRODUCT000789
✅ [800/1000] Generated: PRODUCT000799
✅ [780/1000] Generated: PRODUCT000779
✅ [822/1000] Generated: PRODUCT000821
✅ [831/1000] Generated: PRODUCT000830
✅ [841/1000] Generated: PRODUCT000840
✅ [803/1000] Generated: PRODUCT000802
✅ [770/1000] Generated: PRODUCT000769
✅ [851/1000] Generated: PRODUCT000850
✅ [871/1000] Generated: PRODUCT000870
✅ [813/1000] Generated: PRODUCT000812
✅ [861/1000] Generated: PRODUCT000860
✅ [881/1000] Generated: PRODUCT000880
✅ [832/1000] Generated: PRODUCT000831
✅ [823/1000] Generated: PRODUCT000822
✅ [842/1000] Generated: PRODUCT000841
✅ [891/1000] Generated: PRODUCT000890
✅ [862/1000] Generated: PRODUCT000861
✅ [814/1000] Generated: PRODUCT000813
✅ [872/1000] Generated: PRODUCT000871
✅ [804/1000] Generated: PRODUCT000803
✅ [852/1000] Generated: PRODUCT000851
✅ [882/1000] Generated: PRODUCT000881
✅ [833/1000] Generated: PRODUCT000832
✅ [892/1000] Generated: PRODUCT000891
✅ [824/1000] Generated: PRODUCT000823
✅ [843/1000] Generated: PRODUCT000842
✅ [863/1000] Generated: PRODUCT000862
✅ [873/1000] Generated: PRODUCT000872
✅ [805/1000] Generated: PRODUCT000804
✅ [815/1000] Generated: PRODUCT000814
✅ [853/1000] Generated: PRODUCT000852
✅ [883/1000] Generated: PRODUCT000882
✅ [816/1000] Generated: PRODUCT000815
✅ [825/1000] Generated: PRODUCT000824
✅ [844/1000] Generated: PRODUCT000843
✅ [834/1000] Generated: PRODUCT000833
✅ [874/1000] Generated: PRODUCT000873
✅ [893/1000] Generated: PRODUCT000892
✅ [884/1000] Generated: PRODUCT000883
✅ [806/1000] Generated: PRODUCT000805
✅ [864/1000] Generated: PRODUCT000863
✅ [854/1000] Generated: PRODUCT000853
✅ [817/1000] Generated: PRODUCT000816
✅ [826/1000] Generated: PRODUCT000825
✅ [807/1000] Generated: PRODUCT000806
✅ [835/1000] Generated: PRODUCT000834
✅ [894/1000] Generated: PRODUCT000893
✅ [845/1000] Generated: PRODUCT000844
✅ [885/1000] Generated: PRODUCT000884
✅ [875/1000] Generated: PRODUCT000874
✅ [865/1000] Generated: PRODUCT000864
✅ [855/1000] Generated: PRODUCT000854
✅ [818/1000] Generated: PRODUCT000817
✅ [808/1000] Generated: PRODUCT000807
✅ [827/1000] Generated: PRODUCT000826
✅ [866/1000] Generated: PRODUCT000865
✅ [836/1000] Generated: PRODUCT000835
✅ [886/1000] Generated: PRODUCT000885
✅ [895/1000] Generated: PRODUCT000894
✅ [856/1000] Generated: PRODUCT000855
✅ [876/1000] Generated: PRODUCT000875
✅ [846/1000] Generated: PRODUCT000845
✅ [819/1000] Generated: PRODUCT000818
✅ [809/1000] Generated: PRODUCT000808
✅ [828/1000] Generated: PRODUCT000827
✅ [896/1000] Generated: PRODUCT000895
✅ [847/1000] Generated: PRODUCT000846
✅ [857/1000] Generated: PRODUCT000856
✅ [837/1000] Generated: PRODUCT000836
✅ [887/1000] Generated: PRODUCT000886
✅ [877/1000] Generated: PRODUCT000876
✅ [867/1000] Generated: PRODUCT000866
✅ [820/1000] Generated: PRODUCT000819
✅ [810/1000] Generated: PRODUCT000809
✅ [829/1000] Generated: PRODUCT000828
✅ [897/1000] Generated: PRODUCT000896
✅ [830/1000] Generated: PRODUCT000829
✅ [878/1000] Generated: PRODUCT000877
✅ [888/1000] Generated: PRODUCT000887
✅ [848/1000] Generated: PRODUCT000847
✅ [858/1000] Generated: PRODUCT000857
✅ [911/1000] Generated: PRODUCT000910
✅ [901/1000] Generated: PRODUCT000900
✅ [868/1000] Generated: PRODUCT000867
✅ [838/1000] Generated: PRODUCT000837
✅ [839/1000] Generated: PRODUCT000838
✅ [898/1000] Generated: PRODUCT000897
✅ [879/1000] Generated: PRODUCT000878
✅ [902/1000] Generated: PRODUCT000901
✅ [921/1000] Generated: PRODUCT000920
✅ [859/1000] Generated: PRODUCT000858
✅ [912/1000] Generated: PRODUCT000911
✅ [849/1000] Generated: PRODUCT000848
✅ [889/1000] Generated: PRODUCT000888
✅ [869/1000] Generated: PRODUCT000868
✅ [922/1000] Generated: PRODUCT000921
✅ [903/1000] Generated: PRODUCT000902
✅ [840/1000] Generated: PRODUCT000839
✅ [880/1000] Generated: PRODUCT000879
✅ [850/1000] Generated: PRODUCT000849
✅ [870/1000] Generated: PRODUCT000869
✅ [860/1000] Generated: PRODUCT000859
✅ [890/1000] Generated: PRODUCT000889
✅ [899/1000] Generated: PRODUCT000898
✅ [913/1000] Generated: PRODUCT000912
✅ [941/1000] Generated: PRODUCT000940
✅ [923/1000] Generated: PRODUCT000922
✅ [931/1000] Generated: PRODUCT000930
✅ [981/1000] Generated: PRODUCT000980
✅ [900/1000] Generated: PRODUCT000899
✅ [971/1000] Generated: PRODUCT000970
✅ [961/1000] Generated: PRODUCT000960
✅ [904/1000] Generated: PRODUCT000903
✅ [951/1000] Generated: PRODUCT000950
✅ [914/1000] Generated: PRODUCT000913
✅ [982/1000] Generated: PRODUCT000981
✅ [972/1000] Generated: PRODUCT000971
✅ [942/1000] Generated: PRODUCT000941
✅ [991/1000] Generated: PRODUCT000990
✅ [915/1000] Generated: PRODUCT000914
✅ [962/1000] Generated: PRODUCT000961
✅ [932/1000] Generated: PRODUCT000931
✅ [924/1000] Generated: PRODUCT000923
✅ [952/1000] Generated: PRODUCT000951
✅ [905/1000] Generated: PRODUCT000904
✅ [983/1000] Generated: PRODUCT000982
✅ [943/1000] Generated: PRODUCT000942
✅ [963/1000] Generated: PRODUCT000962
✅ [925/1000] Generated: PRODUCT000924
✅ [973/1000] Generated: PRODUCT000972
✅ [916/1000] Generated: PRODUCT000915
✅ [933/1000] Generated: PRODUCT000932
✅ [906/1000] Generated: PRODUCT000905
✅ [992/1000] Generated: PRODUCT000991
✅ [953/1000] Generated: PRODUCT000952
✅ [984/1000] Generated: PRODUCT000983
✅ [954/1000] Generated: PRODUCT000953
✅ [944/1000] Generated: PRODUCT000943
✅ [974/1000] Generated: PRODUCT000973
✅ [926/1000] Generated: PRODUCT000925
✅ [907/1000] Generated: PRODUCT000906
✅ [964/1000] Generated: PRODUCT000963
✅ [934/1000] Generated: PRODUCT000933
✅ [993/1000] Generated: PRODUCT000992
✅ [985/1000] Generated: PRODUCT000984
✅ [917/1000] Generated: PRODUCT000916
✅ [908/1000] Generated: PRODUCT000907
✅ [945/1000] Generated: PRODUCT000944
✅ [975/1000] Generated: PRODUCT000974
✅ [994/1000] Generated: PRODUCT000993
✅ [965/1000] Generated: PRODUCT000964
✅ [986/1000] Generated: PRODUCT000985
✅ [935/1000] Generated: PRODUCT000934
✅ [927/1000] Generated: PRODUCT000926
✅ [918/1000] Generated: PRODUCT000917
✅ [955/1000] Generated: PRODUCT000954
✅ [976/1000] Generated: PRODUCT000975
✅ [909/1000] Generated: PRODUCT000908
✅ [919/1000] Generated: PRODUCT000918
✅ [936/1000] Generated: PRODUCT000935
✅ [995/1000] Generated: PRODUCT000994
✅ [966/1000] Generated: PRODUCT000965
✅ [956/1000] Generated: PRODUCT000955
✅ [946/1000] Generated: PRODUCT000945
✅ [987/1000] Generated: PRODUCT000986
✅ [928/1000] Generated: PRODUCT000927
✅ [977/1000] Generated: PRODUCT000976
✅ [910/1000] Generated: PRODUCT000909
✅ [920/1000] Generated: PRODUCT000919
✅ [978/1000] Generated: PRODUCT000977
✅ [957/1000] Generated: PRODUCT000956
✅ [929/1000] Generated: PRODUCT000928
✅ [937/1000] Generated: PRODUCT000936
✅ [967/1000] Generated: PRODUCT000966
✅ [947/1000] Generated: PRODUCT000946
✅ [988/1000] Generated: PRODUCT000987
✅ [996/1000] Generated: PRODUCT000995
✅ [979/1000] Generated: PRODUCT000978
✅ [958/1000] Generated: PRODUCT000957
✅ [989/1000] Generated: PRODUCT000988
✅ [948/1000] Generated: PRODUCT000947
✅ [930/1000] Generated: PRODUCT000929
✅ [938/1000] Generated: PRODUCT000937
✅ [997/1000] Generated: PRODUCT000996
✅ [968/1000] Generated: PRODUCT000967
✅ [980/1000] Generated: PRODUCT000979
✅ [959/1000] Generated: PRODUCT000958
✅ [990/1000] Generated: PRODUCT000989
✅ [939/1000] Generated: PRODUCT000938
✅ [949/1000] Generated: PRODUCT000948
✅ [998/1000] Generated: PRODUCT000997
✅ [969/1000] Generated: PRODUCT000968
✅ [960/1000] Generated: PRODUCT000959
✅ [970/1000] Generated: PRODUCT000969
✅ [999/1000] Generated: PRODUCT000998
✅ [950/1000] Generated: PRODUCT000949
✅ [940/1000] Generated: PRODUCT000939
✅ [1000/1000] Generated: PRODUCT000999

======================================================================
GENERATION SUMMARY
======================================================================
Total products: 1000
✅ Successful: 1000
❌ Failed: 0
⏱️  Time elapsed: 7.19 seconds
📊 Average time per product: 0.007 seconds
🚀 Generation rate: 139.06 products/second
======================================================================

📄 Detailed results saved to: generation_results_20251121_161532.json

✅ First successful: PRODUCT000050
✅ Last successful: PRODUCT000999

📁 Generated files are in:
   - generated_qr_cdp/ (combined QR+CDP images)
   - generated_cdp/ (reference CDP patterns)
